_id,uuid,provider_id,_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302cb38a9,Y2C1QFA5P,undefined,5885864dbebc58b0fe92b09302cafd91,Y2C1QFA5P,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302cb0e69,KY74BHJ0$,undefined,5885864dbebc58b0fe92b09302cac26c,KY74BHJ0$,15,UCNE
5885864dbebc58b0fe92b09302c732df,FNCXE1X7=,undefined,5885864dbebc58b0fe92b09302c70dfb,FNCXE1X7=,15,UCNE
5885864dbebc58b0fe92b09302c9b09e,CXJSX462Z,undefined,5885864dbebc58b0fe92b09302c99472,CXJSX462Z,15,UCNE
5885864dbebc58b0fe92b09302ca9acb,C74SYBZ7Z,undefined,5885864dbebc58b0fe92b09302ca86b1,C74SYBZ7Z,15,UCNE
5885864dbebc58b0fe92b09302c70284,88X3BSMSM,undefined,5885864dbebc58b0fe92b09302c6bd9f,88X3BSMSM,15,UCNE
5885864dbebc58b0fe92b09302c6404c,Y1YFTK7W4,undefined,5885864dbebc58b0fe92b09302c622db,Y1YFTK7W4,15,UCNE
5885864dbebc58b0fe92b09302ca114f,CMZ7D6AB7,undefined,5885864dbebc58b0fe92b09302c9ad49,CMZ7D6AB7,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c60bab,2EJSGFG9E,undefined,5885864dbebc58b0fe92b09302c59f85,2EJSGFG9E,15,UCNE
5885864dbebc58b0fe92b09302ca1806,K7MK9KA1T,undefined,5885864dbebc58b0fe92b09302c9b3d7,K7MK9KA1T,,
5885864dbebc58b0fe92b09302c8e081,T8BWVXTF$,undefined,5885864dbebc58b0fe92b09302c8a852,T8BWVXTF$,15,UCNE
5885864dbebc58b0fe92b09302c9908d,NR4KHA42*,undefined,5885864dbebc58b0fe92b09302c8cee3,NR4KHA42*,,
5885864dbebc58b0fe92b09302c96432,95B228EVC,undefined,5885864dbebc58b0fe92b09302c91f40,95B228EVC,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c980a4,48Z7ZDPE~,undefined,5885864dbebc58b0fe92b09302c92444,48Z7ZDPE~,15,UCNE
5885864dbebc58b0fe92b09302c55712,N1P6Y3QC8,undefined,5885864dbebc58b0fe92b09302c4f26d,N1P6Y3QC8,15,UCNE
5885864dbebc58b0fe92b09302c91657,9TJP0G28H,undefined,5885864dbebc58b0fe92b09302c8f515,9TJP0G28H,15,UCNE
5885864dbebc58b0fe92b09302c8613a,9T53XAWPC,undefined,5885864dbebc58b0fe92b09302c83dfb,9T53XAWPC,15,UCNE
5885864dbebc58b0fe92b09302c896a8,ZDMJE5N1$,undefined,5885864dbebc58b0fe92b09302c879f6,ZDMJE5N1$,15,UCNE
5885864dbebc58b0fe92b09302c41902,ET30TCVBH,undefined,5885864dbebc58b0fe92b09302c40ef4,ET30TCVBH,15,UCNE
5885864dbebc58b0fe92b09302c79734,DQN9904QN,undefined,5885864dbebc58b0fe92b09302c733d0,DQN9904QN,15,UCNE
5885864dbebc58b0fe92b09302c836b4,Q5ST2QQSD,undefined,5885864dbebc58b0fe92b09302c819ad,Q5ST2QQSD,15,UCNE
5885864dbebc58b0fe92b09302c33bb2,NARZTHPXZ,undefined,5885864dbebc58b0fe92b09302c2f192,NARZTHPXZ,15,UCNE
5885864dbebc58b0fe92b09302c7cdec,EH0DW71C6,undefined,5885864dbebc58b0fe92b09302c7b66f,EH0DW71C6,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c7eacd,TZPFDZ7XT,undefined,5885864dbebc58b0fe92b09302c7c100,TZPFDZ7XT,15,UCNE
5885864dbebc58b0fe92b09302c82b0c,0RNZPNRKA,undefined,5885864dbebc58b0fe92b09302c7d8d6,0RNZPNRKA,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c7a847,72MP7EEZE,undefined,5885864dbebc58b0fe92b09302c78a28,72MP7EEZE,15,UCNE
5885864dbebc58b0fe92b09302c1cc64,92S0GQ2EC,undefined,5885864dbebc58b0fe92b09302c165b3,92S0GQ2EC,15,UCNE
5885864dbebc58b0fe92b09302c781a7,4M8TKS1JN,undefined,5885864dbebc58b0fe92b09302c761c9,4M8TKS1JN,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c6f45f,RGRKMGZTW,undefined,5885864dbebc58b0fe92b09302c6a6ed,RGRKMGZTW,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c6b515,V6ATS4Z1C,undefined,5885864dbebc58b0fe92b09302c62516,V6ATS4Z1C,15,UCNE
5885864dbebc58b0fe92b09302c69861,3XC81CB9A,undefined,5885864dbebc58b0fe92b09302c62385,3XC81CB9A,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c61207,58M94KHXP,undefined,5885864dbebc58b0fe92b09302c5b2b7,58M94KHXP,15,UCNE
5885864dbebc58b0fe92b09302c60aa2,41DFN9RJ5,undefined,5885864dbebc58b0fe92b09302c5b6b9,41DFN9RJ5,6,"IDDI (Santo Domingo/Distrito Nacional)"
5885864dbebc58b0fe92b09302c503c4,5BCX7WE9Y,undefined,5885864dbebc58b0fe92b09302c48d7c,5BCX7WE9Y,15,UCNE
