_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302bae0cf,F6ED7XPF1,15,UCNE
5885864dbebc58b0fe92b09302c073a2,B7ZG5M1KW,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302bf56fc,GQQ1ESMER,15,UCNE
5885864dbebc58b0fe92b09302c03a44,7VT4GC2VW,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302ba835a,2DDHAKRZV,15,UCNE
5885864dbebc58b0fe92b09302bf8d96,347E56A92,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bf0f41,1RS2HNRBW,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302be19c2,5W3VYBF9~,15,UCNE
5885864dbebc58b0fe92b09302befe37,ZSZJDXW57,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bed314,B9FCNDCAQ,15,UCNE
5885864dbebc58b0fe92b09302be9877,7M6PS9DS=,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302be824f,Z9Q6MNR0W,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302be2dc9,QM5SYHKAP,15,UCNE
5885864dbebc58b0fe92b09302bc5d21,5YGGHV43W,15,UCNE
5885864dbebc58b0fe92b09302be0ebe,AV629X4A4,15,UCNE
5885864dbebc58b0fe92b09302bccdc4,5E1BT9E7Q,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bded49,CQN8FCJBZ,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302bdf192,SEE6DZ777,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bc770f,HX3GQ663*,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302bc1931,W3JRHAZS8,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bbaafd,EBR3Q0TVQ,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bb5001,XR3J9PVE~,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302bbeb02,RH92AGX6B,15,UCNE
5885864dbebc58b0fe92b09302bb3ea2,N8SPYNN7J,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bb02dc,Z03X9QBCE,15,UCNE
5885864dbebc58b0fe92b09302bab209,XSJCMQKKS,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302baaf48,3CEB86SMS,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302ba0bc8,R8CVVRJ82,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b8b9b7,BHD3Y4AZ9,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302b96a9c,MX3CJ73A0,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b89f95,EVYRWYR7H,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b81d52,SREC0EC9C,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b80f49,EJ85PBPP2,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b78aca,HBHKTV26G,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b6f36f,EAY714F96,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b68a35,037579HR$,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302b2eaf4,TCYCG7ASZ,15,UCNE
5885864dbebc58b0fe92b09302b5c271,GVZ7TGDBW,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b17499,PYHXH4DYP,15,UCNE
5885864dbebc58b0fe92b09302b0ac9d,E6M238E42,15,UCNE
5885864dbebc58b0fe92b09302b068b6,C0ZAKEZEB,15,UCNE
5885864dbebc58b0fe92b09302b53fff,H8A1K3WBW,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302afa044,KPNZ8KF47,15,UCNE
5885864dbebc58b0fe92b09302b42c32,KJRKF3R5A,15,UCNE
5885864dbebc58b0fe92b09302ae8689,0YEFE23AZ,15,UCNE
5885864dbebc58b0fe92b09302b4ce41,1Z6MSNNG5,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302b501a4,3708AMH18,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302b50ee5,R0336SCC=,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302acaef5,YYT892KTP,15,UCNE
5885864dbebc58b0fe92b09302b44879,SB9RD1HC6,15,UCNE
5885864dbebc58b0fe92b09302b3d26a,STF71DN3N,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302b2e8da,DSJWPEHTD,15,UCNE
